surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
Onyemere,715,France,Male,28,7,160376.61,1,0,0,196853.11,0
Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0
Ferguson,601,France,Male,50,2,115625.07,1,1,0,185855.21,0
Wood,741,Spain,Male,50,1,78737.61,1,1,1,13018.96,0
Crace,711,France,Female,28,8,0.0,2,0,0,105159.89,0
Hixson,664,France,Female,38,4,74306.19,2,1,0,154395.56,0
Nelson,672,France,Male,31,6,91125.75,1,1,0,177295.92,0
Ejimofor,796,France,Male,24,8,0.0,2,1,0,61349.37,0
Tinline,543,France,Male,30,4,140916.81,1,1,0,157711.18,0
Findlay,515,Germany,Male,45,7,120961.5,3,1,1,39288.11,1
Nicholls,620,France,Female,29,3,0.0,2,0,1,153392.28,0
Knowles,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1
Cremonesi,686,Spain,Male,39,10,136258.06,1,0,0,89199.51,0
Douglas,573,Spain,Male,50,0,159304.07,1,0,1,155915.24,1
Monaldo,757,Germany,Female,34,1,129398.01,2,0,0,44965.44,0
Jefferson,657,France,Male,33,1,84309.57,2,0,0,103914.4,0
Endrizzi,739,France,Male,58,2,101579.28,1,1,1,72168.53,0
Miller,832,France,Female,29,5,0.0,2,1,0,178779.52,0
Reppert,682,France,Female,26,0,110654.02,1,0,1,111879.21,0
Milanesi,850,France,Male,38,5,0.0,2,1,0,16491.64,0
Foster,699,France,Female,40,8,122038.34,1,1,0,102085.35,0
Reid,765,Spain,Female,33,5,84557.82,1,1,1,69039.43,0
Ankudinova,570,France,Female,29,4,153040.03,1,1,1,131363.57,1
O'Brien,595,Germany,Female,25,7,106570.34,2,0,1,177025.79,0
Atkinson,850,Spain,Female,31,3,121237.65,1,1,1,31022.56,0
Cocci,561,France,Male,32,5,0.0,2,1,0,84871.99,0
Tudawali,521,France,Female,41,2,0.0,2,1,1,113089.43,0
De Mestre,702,Spain,Male,43,6,116121.67,1,1,0,61602.42,0
Chiganu,619,Germany,Female,42,8,132796.04,3,1,1,191821.35,1
Chizuoke,555,Spain,Male,32,4,0.0,2,1,1,54405.79,0
Berry,579,Spain,Female,39,2,151963.26,2,1,0,158948.63,0
Toth,544,Spain,Female,53,9,0.0,1,1,0,125692.07,1
Brown,792,France,Male,19,7,143390.51,1,1,0,33282.84,0
McKay,659,Germany,Female,30,8,154159.51,1,1,0,40441.1,0
Scott,460,Germany,Female,35,8,102742.91,2,1,1,189339.6,0
Akobundu,557,France,Male,39,8,146200.01,1,1,0,177944.64,0
Copeland,564,Spain,Male,31,0,125175.58,1,1,1,72757.33,0
Amadi,489,Germany,Male,38,2,126444.08,2,1,1,82662.73,0
Collee,629,Spain,Male,35,4,174588.8,2,0,1,158420.14,0
Kang,586,France,Male,29,3,0.0,2,1,1,142238.54,0
Fulton,628,France,Male,33,6,0.0,2,0,0,184230.23,0
Manna,749,Spain,Female,46,9,66582.81,1,1,0,78753.12,1
Kao,703,France,Male,32,1,125685.79,1,1,1,56246.72,0
Buckley,790,Spain,Female,41,7,109508.68,1,0,0,86776.38,0
Fitzgerald,733,France,Male,64,3,0.0,2,1,1,75272.63,0
Mai,591,Spain,Male,31,8,0.0,1,1,1,141677.33,0
Wertheim,640,Spain,Female,32,6,118879.35,2,1,1,19131.71,0
Mellor,565,France,Male,34,6,0.0,1,1,1,63173.64,0
Wei,556,France,Male,40,5,125909.85,1,1,1,95124.4,0
Ts'ui,555,Spain,Male,33,5,127343.4,1,0,1,121789.3,0
Martin,738,Germany,Male,43,9,121152.05,2,1,0,64166.7,1
Gallo,799,France,Female,30,9,0.0,2,1,0,136827.96,0
Moretti,737,Germany,Male,31,5,121192.22,2,1,1,74890.58,0
Calabresi,601,France,Male,38,4,60013.81,1,1,1,38020.05,0
P'an,685,Spain,Male,34,6,83264.28,1,0,0,9663.28,0
Mitchell,558,Germany,Male,26,1,148853.29,2,1,1,24411.02,0
Dickson,571,France,Female,35,1,104783.81,2,0,1,178512.52,0
Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0
Jamieson,602,France,Male,33,5,164704.38,1,0,1,180716.1,1
Nnachetam,689,Germany,Female,30,5,136650.89,1,1,1,41865.72,1
Chiu,712,France,Female,33,6,0.0,2,1,1,190686.16,0
Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0
Warner,627,Spain,Female,28,3,157597.61,1,0,1,34097.22,0
Chiang,651,Spain,Male,23,4,115636.05,2,1,0,70400.86,0
Genovese,697,France,Female,47,6,128252.66,1,1,1,168053.4,0
Afamefula,579,Spain,Male,22,3,118680.57,1,1,1,49829.8,0
Ch'ang,836,Germany,Female,32,4,109196.67,2,1,0,55218.02,0
Howells,551,Spain,Male,49,1,150777.72,2,1,1,135757.27,0
Howell,749,Spain,Male,36,7,0.0,2,0,0,80134.65,0
Wallace,549,France,Female,38,8,107283.4,1,0,0,157442.75,0
Toscano,682,France,Female,42,0,0.0,1,0,1,91981.85,1
Pirozzi,486,Germany,Male,37,9,115217.99,2,1,0,144995.33,0
Palerma,480,France,Male,35,2,165692.91,1,1,1,197984.58,0
Freeman,630,Germany,Female,34,9,106937.05,2,1,0,138275.01,0
Cameron,577,Germany,Female,44,1,152086.15,1,0,1,44719.5,1
Wardle,690,France,Female,35,9,107944.33,2,0,0,48478.47,0
Akabueze,726,Spain,Female,26,1,80780.16,1,1,1,19225.85,0
Miller,572,Spain,Female,26,5,0.0,2,1,0,119381.41,0
Arcuri,461,France,Female,40,7,0.0,2,1,0,176547.8,0
Marcelo,850,Spain,Female,55,7,0.0,1,0,0,171762.87,1
Dynon,561,France,Male,34,1,78829.53,1,1,1,12148.2,0
Howard,727,Germany,Male,34,2,146407.11,1,1,1,72073.72,0
Rowe,682,France,Female,46,2,0.0,1,1,1,114442.66,0
Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0
DeRose,498,Germany,Female,41,4,87541.06,2,1,1,12577.21,1
Nixon,636,Spain,Male,52,4,111284.53,1,0,1,32936.44,1
Iheanacho,567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1
Y?,587,Spain,Male,42,5,120233.83,1,1,0,194890.33,0
Gonzalez,602,France,Female,29,3,88814.4,2,1,1,62487.97,0
Ch'iu,477,Spain,Female,48,2,129120.64,1,0,1,26475.79,0
Chidiebele,703,Germany,Male,42,9,63227.0,1,0,1,137316.32,0
Dean,691,Germany,Male,27,3,160358.68,2,1,0,142367.72,0
Loyau,695,Spain,Male,46,3,122549.64,1,1,1,56297.85,0
Yen,472,France,Female,37,1,0.0,2,1,1,48357.9,0
Clark,742,France,Male,33,6,0.0,2,0,0,38550.4,0
Mack,550,France,Male,32,8,97514.07,1,1,1,199138.84,0
Azubuike,350,Spain,Male,54,1,152677.48,1,1,1,191973.49,1
McKinnon,814,France,Female,31,4,0.0,2,1,1,142029.17,0
Fang,683,France,Female,29,9,0.0,2,1,1,48849.89,0
Calabresi,558,France,Male,35,1,0.0,2,0,0,111687.57,0
Padovesi,493,France,Male,36,9,0.0,2,1,1,65816.53,0
Chiu,510,Germany,Female,50,7,123936.54,1,1,1,23768.01,0
Ugorji,595,Germany,Female,44,4,96553.52,2,1,0,143952.24,1
Maxwell,590,Germany,Male,36,6,92340.69,2,1,1,174667.58,0
White,615,Spain,Male,41,4,0.0,1,0,1,149278.96,0
Kuo,753,Germany,Female,38,9,151766.71,1,1,1,180829.99,0
Stephenson,420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1
Newbold,494,Germany,Female,38,7,174937.64,1,1,0,40084.32,0
Townsend,633,Spain,Male,63,4,114552.6,1,1,0,73856.28,1
Ch'en,479,Spain,Male,35,4,125920.98,1,1,1,20393.44,0
Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
Fraser,713,Germany,Male,40,3,114446.84,2,1,1,87308.18,0
Walsh,573,France,Female,23,2,0.0,1,1,0,122964.18,0
Padovano,802,Spain,Male,41,6,0.0,2,1,0,47322.05,0
Mickey,675,France,Male,69,1,0.0,2,1,0,157097.09,0
Napolitani,682,France,Male,28,10,200724.96,1,0,1,82872.64,1
Ho,796,France,Male,30,2,137262.71,2,1,0,62905.29,0
Silva,761,Spain,Male,37,7,132730.17,1,1,0,199293.01,0
Allan,636,Germany,Female,28,2,115265.14,1,0,0,191627.85,0
Kanayochukwu,756,France,Male,28,8,179960.2,1,1,0,89938.08,0
Gaffney,808,Germany,Female,37,2,100431.84,1,1,0,35140.49,1
Napolitano,597,Spain,Male,24,0,108058.07,2,1,1,187826.11,0
Balashova,662,France,Male,32,9,0.0,2,0,0,65089.38,0
Tardent,493,France,Male,38,3,134006.77,1,1,0,89578.32,0
Baldwin,729,France,Male,32,6,93694.42,1,1,1,79919.13,0
Martel,660,Spain,Male,30,4,0.0,2,1,0,129149.06,0
McKay,469,Spain,Female,31,6,0.0,1,1,0,146213.75,1
Hawkins,693,France,Female,39,4,0.0,2,0,1,142331.39,0
Hawthorn,547,Germany,Male,50,3,81290.02,3,0,1,177747.03,1
McKay,679,Spain,Female,28,9,0.0,2,0,1,61761.77,0
Beach,656,France,Male,50,7,0.0,2,0,1,72143.44,0
Watson,752,France,Male,39,3,0.0,1,1,0,188187.05,0
Yao,787,France,Female,85,10,0.0,2,1,1,116537.96,0
Lea,615,Spain,Male,41,1,126773.43,1,1,1,55551.26,0
Ch'ien,771,France,Male,32,5,62321.62,1,1,1,40920.59,0
Murray,688,France,Male,26,0,0.0,2,1,0,105784.85,0
McMillan,796,Germany,Female,40,1,99745.95,1,1,0,177524.19,0
Carter,803,Germany,Female,50,8,98173.02,1,0,0,22457.25,1
Nnachetam,707,Spain,Male,32,9,0.0,2,1,0,126475.79,0
Okwuadigbo,713,Germany,Female,38,7,144606.22,1,1,1,56594.36,1
Pokrovsky,578,France,Male,38,7,82259.29,1,1,0,8996.97,0
Chiemela,445,Germany,Female,61,2,137655.31,1,0,1,29909.84,0
Sievier,638,Germany,Female,26,1,105249.76,2,1,1,23491.09,0
Cullen,477,Germany,Male,34,8,139959.55,2,1,1,189875.83,0
Webb,545,Spain,Female,44,1,0.0,2,1,1,82614.89,0
Calabresi,724,Spain,Female,41,4,142880.28,3,0,0,185541.2,1
Liu,850,Germany,Female,45,1,121874.89,1,0,0,6865.41,1
Parsons,684,France,Male,35,3,137179.39,1,1,1,37264.11,0
Kao,437,Spain,Male,28,2,109161.25,1,1,0,152987.42,0
Walpole,657,France,Male,34,3,107136.6,1,1,0,153895.46,0
Hsiung,841,Germany,Male,32,2,117070.21,1,1,0,113482.2,0
Marshall,683,Germany,Female,35,5,95698.79,1,0,1,182566.76,0
Greene,691,France,Male,50,6,136953.47,1,1,1,2704.98,0
Matthews,504,Spain,Male,44,4,113522.64,1,1,1,12405.2,0
Henderson,649,Germany,Female,50,5,155393.32,1,1,1,87351.42,1
Scott,675,Spain,Male,35,8,0.0,2,1,0,29062.25,0
Fowler,638,Spain,Male,41,7,0.0,2,1,0,43889.41,0
Yao,686,France,Male,37,9,134560.62,1,1,0,27596.39,0
Mbadiwe,678,France,Female,41,1,143443.61,1,1,0,196622.28,1
Pagnotto,450,Spain,Male,25,9,74237.2,2,0,1,195463.35,0
Watson,705,France,Female,55,8,0.0,2,1,1,14392.68,0
Napolitani,599,Spain,Female,31,3,0.0,1,1,1,130086.47,1
Ch'in,758,France,Male,26,4,155739.76,1,1,0,171552.02,0
Sung,554,Germany,Female,55,0,108477.27,1,0,1,140003.0,1
Stewart,787,France,Female,40,6,0.0,2,1,1,84151.98,0
Kennedy,633,France,Female,34,3,123034.43,2,1,1,38315.04,0
Morgan,764,France,Female,40,9,100480.53,1,1,0,124095.69,0
Gallop,710,Germany,Male,45,9,108231.37,1,1,1,188574.08,0
Hicks,544,Germany,Male,44,2,108895.93,1,0,0,69228.2,1
Romani,624,Spain,Male,35,2,0.0,2,1,0,87310.59,0
Giordano,836,Spain,Male,57,4,101247.06,1,1,0,37141.62,1
Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
Boni,515,France,Male,40,0,109542.29,1,1,1,166370.81,0
Lu,461,Spain,Female,25,6,0.0,2,1,1,15306.29,0
Arbour,577,Spain,Male,51,2,108867.0,1,0,0,140800.66,1
Buccho,526,Spain,Male,35,5,0.0,2,1,1,105618.14,0
Bergamaschi,631,France,Male,32,10,0.0,2,0,1,196342.66,0
Stevenson,785,France,Female,38,1,0.0,1,1,0,134964.85,1
Cheng,576,France,Male,39,1,0.0,2,1,1,68814.23,0
Costa,629,France,Female,39,10,0.0,2,1,1,43174.49,1
Gibson,754,Spain,Male,39,7,157691.98,2,1,0,133600.89,1
Murray,616,France,Male,46,2,0.0,2,1,0,137136.46,0
Flynn,683,France,Female,33,9,0.0,2,1,1,38784.42,0
Hughes,779,France,Male,71,3,0.0,2,1,1,146895.36,1
Leckie,768,Germany,Male,37,9,108308.11,1,1,0,41788.25,1
Kao,584,Germany,Male,33,3,88311.48,2,1,1,177651.38,0
Munro,734,Spain,Male,39,6,0.0,1,1,1,95135.27,0
Chien,669,France,Female,38,8,0.0,2,1,0,84049.16,0
Donaldson,534,France,Female,53,7,0.0,2,1,1,80619.17,0
Sabbatini,462,Germany,Female,24,9,69881.09,2,0,1,64421.02,0
Ukaegbunam,634,France,Female,45,2,0.0,4,1,0,101039.53,1
P'eng,850,France,Male,20,7,0.0,2,1,0,31288.77,0
Nekrasov,642,Germany,Female,30,5,129753.69,1,1,0,582.53,0
Larionova,758,Germany,Male,41,10,79857.64,1,1,1,78088.17,0
Lucciano,685,Spain,Female,42,2,0.0,2,0,0,199992.48,0
Brookes,775,France,Female,30,10,191091.74,2,1,1,96170.38,0
McKelvey,564,Germany,Male,40,7,108407.34,1,1,1,83681.2,0
Chou,670,Germany,Male,43,9,111677.88,1,1,0,178827.3,1
Davidson,832,Spain,Male,29,8,93833.86,1,0,1,10417.87,0
Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1
Bellucci,607,France,Male,45,7,123859.6,1,0,1,113051.57,0
Kodilinyechukwu,721,Spain,Male,51,0,169312.13,1,1,0,109078.35,1
Yusupova,582,France,Male,39,5,0.0,2,1,1,129892.93,0
Short,688,Spain,Female,46,3,0.0,2,0,1,104902.68,0
Thomas,445,France,Male,64,2,136770.67,1,0,1,43678.06,0
Milano,756,France,Female,24,1,0.0,2,1,0,184182.25,0
Murphy,697,Spain,Female,37,7,168066.87,1,1,0,35450.53,0
Titus,711,France,Male,38,3,0.0,2,1,0,68487.51,0
Hs?eh,618,France,Male,39,2,91068.56,1,1,0,26578.69,0
Craig,726,France,Female,53,1,113537.73,1,0,1,28367.21,0
Tu,639,Spain,Male,38,9,130233.14,1,1,1,81861.1,0
Shen,639,Germany,Female,46,10,110031.09,2,1,1,133995.59,0
Ferri,657,Spain,Female,41,6,112119.48,1,1,0,17536.82,0
Walker,717,Germany,Female,35,5,103214.71,1,1,0,172172.7,0
Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
Lees,604,France,Female,34,7,0.0,2,1,0,193021.49,0
Gorbunova,489,France,Male,38,8,0.0,2,0,1,196990.79,0
Munro,850,Germany,Female,31,3,51293.47,1,0,0,35534.68,0
Woolnough,796,France,Male,44,8,165326.2,1,1,1,57205.55,0
White,474,France,Male,54,3,0.0,1,1,0,108409.17,1
Power,507,France,Male,42,6,0.0,2,1,0,34777.23,0
Udobata,503,Germany,Male,30,10,136622.55,2,0,0,47310.24,0
Meng,667,France,Male,33,4,0.0,2,1,1,131834.75,0
Toscani,498,Germany,Male,25,8,121702.73,1,1,1,132210.49,0
Lori,410,France,Male,33,6,125789.69,1,0,0,66333.56,1
Ejimofor,637,France,Male,32,5,0.0,1,0,0,148769.08,0
Chan,666,France,Female,34,9,115897.12,1,1,1,25095.03,0
Zox,778,Germany,Female,48,3,102290.56,2,1,0,182691.31,0
Nnamdi,642,France,Male,30,8,80964.57,2,1,0,174738.2,0
H?,784,Spain,Male,48,7,0.0,2,1,1,182609.97,0
Stehle,653,France,Female,46,5,0.0,2,1,0,49707.85,0
Greenwood,585,Spain,Female,44,4,0.0,2,0,1,101728.46,0
Ogochukwu,652,France,Female,40,1,0.0,2,1,0,126554.96,0
Grave,633,Spain,Male,33,4,137847.41,2,1,0,98349.13,0
Lai,785,Spain,Female,31,2,121691.54,2,0,0,81778.72,0
Kirsova,678,France,Female,28,4,0.0,2,1,1,144423.17,1
Hsiung,543,France,Female,31,4,138317.94,1,0,0,61843.73,0
Moss,569,France,Male,37,9,178755.84,1,1,0,199929.17,0
Nakayama,580,Germany,Female,38,1,128218.47,1,1,0,125953.83,1
Koch,584,Spain,Female,29,4,0.0,2,1,0,88866.92,0
Calabrese,656,Germany,Female,49,9,97092.87,1,1,0,74771.22,1
Fang,735,France,Male,49,5,121973.28,1,1,0,148804.36,0
Ch'iu,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
Clunie,485,France,Female,25,3,134467.26,1,1,1,113266.09,0
Chao,654,France,Male,38,8,0.0,2,1,0,88659.44,0
Hsiung,761,France,Female,26,1,0.0,2,1,1,199409.19,0
Maclean,693,France,Female,35,5,124151.09,1,1,0,88705.14,1
Chang,718,Spain,Male,40,9,0.0,2,0,0,121537.91,0
Hsing,670,France,Male,22,2,114991.45,1,1,1,37392.56,0
Davidson,707,France,Female,58,3,102346.86,1,1,1,114672.64,0
Davidson,714,Spain,Male,25,2,0.0,1,1,1,132979.43,0
Ts'ui,571,Spain,Female,22,3,108117.1,1,0,1,53328.7,0
Doyle,559,France,Male,49,2,147069.78,1,1,0,120540.83,1
Liardet,617,Germany,Male,44,9,49157.09,2,1,0,53294.17,0
Loewenthal,799,France,Female,52,4,161209.66,1,1,1,89081.41,0
Chukwuebuka,850,France,Male,39,6,96863.13,1,1,1,121681.19,0
Poole,724,Germany,Female,33,9,119278.44,1,1,1,197148.24,0
Hudson,554,Spain,Male,37,3,0.0,2,1,0,166177.3,0
Woods,677,Germany,Female,41,8,146720.98,2,1,1,4195.84,0
Sal,675,Spain,Female,40,8,79035.95,1,1,0,142783.98,1
Zetticci,699,Spain,Male,43,2,136487.86,2,1,0,82815.93,0
Pinto,695,Germany,Male,52,8,103023.26,1,1,1,22485.64,0
Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0
Nwankwo,645,France,Female,45,8,85325.93,1,0,0,22558.74,0
Lucchese,521,Germany,Female,40,9,134504.78,1,1,0,18082.06,0
Obialo,748,France,Male,44,2,92911.52,1,0,1,85495.24,0
Barnett,745,Germany,Male,51,3,99183.9,1,1,1,28922.25,0
Doherty,655,France,Male,38,4,0.0,2,0,0,110527.71,0
Ku,699,France,Female,32,4,110559.46,1,1,1,127429.56,0
Chu,676,France,Male,40,8,114005.78,1,1,1,67998.45,0
Palermo,498,France,Female,31,10,0.0,2,1,0,13892.57,0
Norris,482,Germany,Male,45,7,156353.46,1,1,0,72643.95,1
Cole,529,France,Male,67,8,103101.56,2,1,1,154002.02,1
Graham,516,Spain,Female,31,3,0.0,2,1,0,124202.26,0
Vinogradoff,611,France,Male,30,2,104145.65,1,0,0,159629.64,0
Abdulov,562,Germany,Female,31,9,117153.0,1,1,1,108675.01,0
Madukaife,617,Spain,Male,34,9,0.0,2,1,0,118749.58,0
Slone,678,Germany,Female,44,2,98009.13,2,0,1,31384.86,0
Walker,602,France,Male,23,7,113758.48,2,0,0,84077.6,0
Fletcher,590,France,Female,54,4,0.0,2,1,1,93820.49,1
Lori,537,Germany,Male,84,8,92242.34,1,1,1,186235.98,0
Thompson,770,France,Female,70,9,110738.89,1,1,0,22666.77,1
Obiajulu,711,France,Male,52,5,0.0,1,1,1,159808.95,0
He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
Gunter,718,Spain,Male,32,8,0.0,2,1,1,41399.33,0
Esposito,607,Spain,Female,32,7,0.0,3,0,1,10674.62,0
Shephard,652,Spain,Female,38,1,103895.31,1,0,1,159649.44,0
Toscano,646,Germany,Male,48,8,169023.33,2,1,1,175657.55,0
Mazzi,549,Germany,Female,37,1,130622.34,2,1,1,128499.94,0
Teng,687,Spain,Female,63,1,137715.66,1,1,1,37938.74,0
Steele,621,France,Male,40,10,163823.37,1,0,0,89519.47,0
Kruglov,577,France,Female,26,1,180530.51,1,0,0,123454.62,0
Macleod,678,Spain,Male,29,6,0.0,2,1,0,64443.75,0
Chukwukadibia,735,France,Male,41,7,179904.0,1,1,1,137180.95,0
Stephens,670,France,Female,42,1,115961.58,2,0,1,29483.87,0
Ebelegbulam,807,France,Male,47,1,95120.59,1,0,0,127875.1,0
McFarland,626,France,Female,34,3,0.0,2,1,1,37870.29,0
Yuryeva,668,Germany,Female,59,5,120170.07,1,0,1,50454.8,0
Biryukova,573,Spain,Male,33,1,160777.9,1,1,1,149536.15,0
Ts'ui,623,France,Female,24,5,0.0,2,1,0,116160.04,0
Christopher,697,France,Female,49,7,195238.29,4,0,1,131083.56,1
Wu,729,France,Male,34,3,152303.8,1,1,0,12128.69,0
Cox,656,France,Female,30,4,74323.2,1,1,1,22929.08,0
Wentcher,736,Germany,Female,36,8,103914.17,1,1,1,110035.88,1
Black,579,France,Female,27,9,0.0,2,1,0,126838.7,0
Udokamma,692,France,Female,34,7,0.0,2,1,0,195074.62,0
McMillan,586,Germany,Male,32,1,149814.54,1,1,0,31830.06,0
Loggia,481,France,Male,40,3,0.0,1,1,1,32319.93,0
Lucchesi,850,France,Male,32,4,156001.68,2,1,1,151677.31,0
Miller,509,Germany,Female,29,0,107712.57,2,1,1,92898.17,0
Rischbieth,797,France,Female,29,1,0.0,2,1,1,132975.39,0
Brothers,742,France,Female,29,4,0.0,2,1,1,180066.59,0
Chinonyelum,634,Spain,Male,52,1,0.0,2,1,1,176913.42,0
Maclean,850,Germany,Female,31,1,108822.4,1,1,1,132173.31,0
Calabresi,732,France,Male,46,0,0.0,2,1,1,184350.78,0
Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
Shen,644,France,Male,40,8,93183.19,1,1,0,73882.49,0
Lung,675,France,Male,28,9,0.0,1,1,0,134110.93,0
Davidson,672,Germany,Male,68,0,126061.51,2,1,1,184936.77,0
Peck,579,France,Male,38,8,0.0,2,0,0,91763.67,0
Myers,739,France,Female,36,0,0.0,2,0,0,133465.57,0
Norriss,719,Germany,Female,76,10,95052.29,1,1,0,176244.87,0
Banks,704,France,Male,31,5,132084.66,3,1,1,54474.48,1
Gentry,466,France,Male,26,9,105522.06,1,1,0,10842.46,0
Kamdibe,648,France,Female,37,7,0.0,2,1,0,194238.92,0
Gray,755,France,Male,30,4,123217.66,2,0,1,144183.1,0
McKay,699,Germany,Female,41,1,200117.76,2,1,0,94142.35,0
Coupp,662,Spain,Male,33,3,0.0,2,0,1,68064.83,0
Fuller,566,Spain,Male,32,10,147511.26,1,1,1,159891.03,0
Winifred,627,France,Male,44,6,153548.12,1,0,0,35300.08,1
Chang,795,Spain,Female,56,5,0.0,1,1,0,35418.69,1
Bevan,552,Spain,Female,34,4,0.0,2,1,0,140286.69,0
Smith,610,Germany,Male,50,1,113957.01,2,1,0,196526.55,1
Chialuka,658,Germany,Female,55,8,119327.93,1,0,1,119439.66,0
Brenan,663,Germany,Male,32,8,130627.66,1,1,0,47161.25,1
Rizzo,698,France,Male,37,8,0.0,2,0,0,145004.39,0
Zito,765,Germany,Male,34,5,86055.17,2,1,1,104220.5,0
Vasin,556,France,Male,26,4,0.0,1,1,0,195167.38,0
Lettiere,640,Spain,Female,46,8,0.0,2,1,0,89043.19,0
Aksenova,714,Germany,Male,28,7,77776.39,1,1,0,177737.07,0
Cattaneo,706,France,Male,18,2,176139.5,2,1,0,129654.22,0
Pagnotto,664,France,Male,57,1,0.0,2,1,1,56562.57,0
Hsieh,578,Germany,Female,36,8,129745.1,1,1,1,143683.75,0
Mairinger,682,France,Male,48,1,138778.15,1,0,1,168840.23,0
Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
Godfrey,594,Germany,Male,28,0,142574.71,2,1,0,129084.82,0
MacDonald,612,France,Female,33,9,0.0,1,0,0,142797.5,1
Wood,705,Germany,Female,56,2,143249.67,1,1,0,88428.41,1
Holt,784,Spain,Male,38,10,122267.85,1,0,0,145759.93,0
Walker,671,France,Male,27,5,0.0,2,0,0,120893.07,0
Colebatch,577,France,Male,29,7,0.0,2,1,1,55473.15,0
Tien,773,Germany,Male,51,8,116197.65,2,1,1,86701.4,0
Kwemto,573,France,Male,35,9,0.0,2,1,0,11743.89,0
Tsao,647,Germany,Female,22,3,97975.82,2,0,1,62083.0,0
Niehaus,732,Spain,Male,54,0,134249.7,1,0,1,13404.4,0
Kuo,639,France,Female,31,3,98360.03,1,0,0,20973.8,0
Paterson,850,Germany,Male,43,0,108508.82,3,1,0,184044.8,1
Cooke,614,France,Female,41,3,123475.04,1,1,1,179227.52,0
Wade,677,Spain,Female,25,8,130866.19,1,1,0,42410.21,0
Forster,850,Germany,Male,44,3,140393.65,2,0,1,186285.52,0
Atkins,719,Spain,Male,39,5,0.0,2,1,0,145759.7,0
Jamieson,454,France,Male,34,4,0.0,2,1,0,198817.72,0
Castiglione,652,Spain,Male,37,7,0.0,2,1,0,68789.93,0
Fang,591,France,Female,56,9,128882.49,1,1,1,196241.94,1
Knowles,581,France,Male,71,4,0.0,2,1,1,197562.08,0
Zubarev,570,France,Female,43,9,0.0,2,0,1,11417.26,0
Coles,663,France,Female,42,5,124626.07,1,1,1,78004.5,0
Jackson,717,France,Female,59,4,0.0,2,1,1,170528.63,0
Chiwetelu,635,France,Male,29,7,105405.97,1,1,1,149853.89,0
Onwubiko,699,France,Male,64,9,113109.52,1,1,0,27980.8,1
Hotchin,608,Spain,Female,63,3,139529.93,2,1,1,175696.16,1
Findlay,544,France,Female,40,7,0.0,1,0,1,161076.92,0
Watson,737,France,Male,45,10,0.0,2,1,0,1364.54,0
Volkova,756,France,Female,23,1,112568.31,1,1,1,113408.11,0
Shaw,656,Spain,Female,41,6,101179.23,2,1,1,35230.61,0
Burns,505,Germany,Male,29,3,145541.56,2,1,1,58019.95,0
Johnson,659,Germany,Male,39,8,52106.33,2,1,1,107964.36,0
Nweke,659,Spain,Female,42,2,0.0,1,0,0,162734.31,1
Chibueze,546,Germany,Female,58,3,106458.31,4,1,0,128881.87,1
Meng,603,France,Male,35,6,128993.76,2,1,0,130483.56,0
L?,703,France,Female,41,6,109941.51,1,1,0,116267.28,0
Burrows,581,Spain,Female,44,7,189318.16,2,1,0,45026.23,1
Mishina,803,Spain,Female,45,7,0.0,2,1,1,128378.04,0
Fomin,767,Germany,Female,33,1,144753.21,1,1,1,132480.75,0
K?,716,France,Male,39,1,70657.61,2,1,1,76476.05,0
Evseev,619,France,Male,58,5,152199.33,1,1,1,86022.09,0
Vasilyeva,590,Spain,Female,29,10,99250.08,1,1,1,129629.41,0
Woronoff,588,France,Male,40,5,0.0,2,0,0,100727.68,0
Geach,599,France,Male,50,3,121159.65,1,0,0,4033.39,1
O'Meara,551,France,Male,42,1,50194.59,1,1,1,23399.58,0
Blackburn,646,France,Female,37,7,96558.66,1,0,0,163427.18,0
Olisaemeka,550,Germany,Male,29,9,145294.08,2,1,0,147484.13,0
McCarthy,517,Germany,Female,59,8,154110.99,2,1,0,101240.08,1
Mitchell,690,France,Female,42,5,0.0,2,0,1,120512.08,0
Vasilyeva,664,France,Male,36,1,0.0,2,1,1,95372.64,0
Aitken,649,Spain,Male,51,4,0.0,1,1,1,150390.57,0
Zuyev,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1
Thompson,661,Spain,Female,41,5,28082.95,1,1,0,69586.27,1
Hsia,535,Spain,Female,30,5,122924.75,1,0,0,62390.59,1
